READ SERR 1 2
@crab_ratio_SA70_d49.pco
!
0.764999986 4.99999523E-3 1.03029919 6.04010304E-4
0.774999976 4.99999523E-3 1.02822316 5.96743484E-4
0.784999967 5.00002503E-3 1.02544355 5.89904434E-4
0.795000017 4.99999523E-3 1.02405536 5.84176276E-4
0.805000007 4.99999523E-3 1.02217972 5.79126412E-4
0.814999998 4.99999523E-3 1.01959121 5.74747275E-4
0.824999988 4.99999523E-3 1.01527154 5.70756965E-4
0.834999979 4.99999523E-3 1.01039219 5.67491399E-4
0.845000029 5.00002503E-3 1.00544763 5.64965361E-4
0.855000019 4.99999523E-3 1.00078797 5.63160342E-4
0.86500001 4.99999523E-3 0.99659878 5.61942055E-4
0.875 4.99999523E-3 0.990861058 5.60497923E-4
0.88499999 4.99999523E-3 0.987965584 5.59875334E-4
0.894999981 4.99999523E-3 0.985390842 5.59169799E-4
0.904999971 5.00002503E-3 0.983973682 5.58534521E-4
0.915000021 4.99999523E-3 0.982951999 5.57706575E-4
0.925000012 4.99999523E-3 0.982827127 5.56878105E-4
0.935000002 4.99999523E-3 0.983491123 5.56060695E-4
0.944999993 4.99999523E-3 0.98330915 5.54923725E-4
0.954999983 4.99999523E-3 0.986066699 5.54594211E-4
0.965000033 5.00002503E-3 0.987067521 5.53802238E-4
0.975000024 4.99999523E-3 0.987793565 5.53037447E-4
0.985000014 4.99999523E-3 0.988913178 5.5250182E-4
0.995000005 4.99999523E-3 0.989789307 5.52020618E-4
1.005 4.99999523E-3 0.990018487 5.51502744E-4
1.01499999 4.99999523E-3 0.992288709 5.51678299E-4
1.02499998 4.99999523E-3 0.991361499 5.51095756E-4
1.03499997 4.99999523E-3 0.993099988 5.51379751E-4
1.04499996 4.99999523E-3 0.991671443 5.50892495E-4
1.05499995 4.99999523E-3 0.990936756 5.5071793E-4
1.06500006 5.00005484E-3 0.991415262 5.50994358E-4
1.07500005 4.99999523E-3 0.991498768 5.51254256E-4
1.08500004 4.99999523E-3 0.991158605 5.51504781E-4
1.09500003 4.99999523E-3 0.99039346 5.51743433E-4
1.10500002 4.99999523E-3 0.991208732 5.52518293E-4
1.11500001 4.99999523E-3 0.991178751 5.5316306E-4
1.125 4.99999523E-3 0.991315246 5.53947815E-4
1.13499999 4.99999523E-3 0.99030453 5.54497528E-4
1.14499998 4.99999523E-3 0.991282105 5.55699749E-4
1.15499997 4.99999523E-3 0.991964698 5.56915533E-4
